"CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"United Kingdom","Male","2","5","5","4","4",363.129,367.205,382.971
"United Kingdom","Male",">=3","4","13","4","0",422.077,504.194,452.184
"United Kingdom","Male",">=3","4","8","6","3",602.015,536.51,607.465
"United Kingdom","Male",">=3","5","1","5","1",419.251,462.042,471.598
"United Kingdom","Male","2","4","6","4","2",419.339,467.694,488.056
"United Kingdom","Male","2","4","14","3",NA,443.919,388.773,400.762
"United Kingdom","Male","1","4","4","4","5",376.113,322.539,413.608
"United Kingdom","Male",">=3","4","4","4","4",352.993,211.469,381.209
"United Kingdom","Female",">=3","7","18","0",NA,438.301,386.749,432.248
"United Kingdom","Female",">=3","4","5","0",NA,360.754,439.002,352.376
"United Kingdom","Female",">=3","6","2","4","1",479.792,579.835,510.823
"United Kingdom","Female","1","6","3","10","5",491.561,546.946,506.246
"United Kingdom","Female","2","4","4","3","3",360.667,388.082,351.547
"United Kingdom","Female","0","9","6","11","5",556.619,688.062,651.103
"United Kingdom","Female","2","7","1","0",NA,336.034,416.44,364.893
"United Kingdom","Female","1","9","6","11","5",502.83,577.28,572.404
"United Kingdom","Female","2","4","4","0",NA,414.701,561.237,493.006
"United Kingdom","Female",">=3","9","14","0",NA,465.907,475.833,442.815
